FromNode,ToNode,SourcePort,DestinationPort,Size,Priority,StartTime,EndTime,Duration
h13,h20,2,1,54747,0,+1000258983.0ns,+1000676688.0ns,417705
h8,h22,2,1,25891,0,+1000282732.0ns,+1000695797.0ns,413065
h6,h23,2,1,75678,0,+1000406071.0ns,+1000827372.0ns,421301
h3,h23,2,1,51138,0,+1000426903.0ns,+1000850379.0ns,423476
h4,h23,2,1,1579544,0,+1000234405.0ns,+1000910933.0ns,676528
h16,h23,2,1,3332655,0,+1000225577.0ns,+1001048565.0ns,822988
h12,h23,2,1,30662,0,+1000549606.0ns,+1001086238.0ns,536632
h5,h22,2,1,67676,0,+1000560081.0ns,+1001102868.0ns,542787
h15,h22,2,1,74158,0,+1000753576.0ns,+1001174534.0ns,420958
h10,h21,2,2,28183,0,+1000767989.0ns,+1001181357.0ns,413368
h9,h22,2,1,1837985,0,+1000506454.0ns,+1001203374.0ns,696920
h10,h21,2,1,171512,0,+1000684958.0ns,+1001213874.0ns,528916
h14,h22,2,1,346951,0,+1001102854.0ns,+1001542292.0ns,439438
h2,h21,2,1,25050,0,+1001109773.0ns,+1001602923.0ns,493150
h5,h20,2,1,1558042,0,+1001059906.0ns,+1001717814.0ns,657908
h6,h21,2,1,5579491,0,+1000696516.0ns,+1001739566.0ns,1043050
h12,h23,2,2,32029,0,+1001450769.0ns,+1001863578.0ns,412809
h14,h23,2,1,57885,0,+1001609925.0ns,+1002034002.0ns,424077
h13,h22,2,1,66648,0,+1001559044.0ns,+1002049806.0ns,490762
h13,h21,2,1,6713,0,+1001559938.0ns,+1002062396.0ns,502458
h15,h23,2,1,871871,0,+1001491964.0ns,+1002068966.0ns,577002
h1,h20,2,1,1298317,0,+1001455526.0ns,+1002218523.0ns,762997
h1,h23,2,1,287095,0,+1001853605.0ns,+1002475706.0ns,622101
h6,h22,2,1,5696161,0,+1001142000.0ns,+1002577193.0ns,1435193
h11,h23,2,1,112055,0,+1002175176.0ns,+1002611541.0ns,436365
h6,h20,2,1,2306517,0,+1001378070.0ns,+1002616924.0ns,1238854
h8,h23,2,1,26049,0,+1002101141.0ns,+1002620169.0ns,519028
h9,h21,2,1,1197046,0,+1002298697.0ns,+1003000161.0ns,701464
h7,h21,2,1,71594,0,+1002477062.0ns,+1003001173.0ns,524111
h3,h22,2,1,5154710,0,+1001450688.0ns,+1003062819.0ns,1612131
h8,h23,2,2,24391,0,+1002616166.0ns,+1003109506.0ns,493340
h13,h23,2,1,144304,0,+1002747903.0ns,+1003168626.0ns,420723
h12,h21,2,1,76,0,+1002445767.0ns,+1003196518.0ns,750751
h1,h22,2,1,936,0,+1002238203.0ns,+1003223191.0ns,984988
h8,h22,2,2,49764,0,+1002314405.0ns,+1003239659.0ns,925254
h16,h20,2,1,2150834,0,+1002107075.0ns,+1003263499.0ns,1156424
