Time,Node,PortIndex,RxByte
+1000000000.0ns,s44,0,0
+1000100000.0ns,s44,0,0
+1000200000.0ns,s44,0,0
+1000300000.0ns,s44,0,0
+1000400000.0ns,s44,0,0
+1000500000.0ns,s44,0,498403
+1000600000.0ns,s44,0,2247183
+1000700000.0ns,s44,0,4735956
+1000800000.0ns,s44,0,6729318
+1000900000.0ns,s44,0,8310944
+1001000000.0ns,s44,0,10446572
+1001100000.0ns,s44,0,12888609
+1001200000.0ns,s44,0,14732924
+1001300000.0ns,s44,0,17488222
+1001400000.0ns,s44,0,20784025
+1001500000.0ns,s44,0,22818203
+1001600000.0ns,s44,0,25409833
+1001700000.0ns,s44,0,28273843
+1001800000.0ns,s44,0,31546146
+1001900000.0ns,s44,0,34365164
+1002000000.0ns,s44,0,35757396
+1002100000.0ns,s44,0,37364333
+1002200000.0ns,s44,0,39693910
+1002300000.0ns,s44,0,42403291
+1002400000.0ns,s44,0,46301794
+1002500000.0ns,s44,0,49700396
+1002600000.0ns,s44,0,52487794
+1002700000.0ns,s44,0,55181448
+1002800000.0ns,s44,0,57846245
+1002900000.0ns,s44,0,60465105
+1003000000.0ns,s44,0,62797772
+1003100000.0ns,s44,0,66174531
+1003200000.0ns,s44,0,69388215
+1003300000.0ns,s44,0,72192905
+1003400000.0ns,s44,0,75718286
+1003500000.0ns,s44,0,78877668
+1003600000.0ns,s44,0,81695742
+1003700000.0ns,s44,0,84529530
+1003800000.0ns,s44,0,88222243
+1003900000.0ns,s44,0,92086769
+1004000000.0ns,s44,0,95043310
+1004100000.0ns,s44,0,98206744
+1004200000.0ns,s44,0,102950176
+1004300000.0ns,s44,0,105135494
+1004400000.0ns,s44,0,106897049
+1004500000.0ns,s44,0,109126974
+1004600000.0ns,s44,0,111909438
+1004700000.0ns,s44,0,113698719
+1004800000.0ns,s44,0,115631434
+1004900000.0ns,s44,0,117817532
+1005000000.0ns,s44,0,120284752
+1005100000.0ns,s44,0,121635905
+1005200000.0ns,s44,0,123037653
+1005300000.0ns,s44,0,123990719
+1005400000.0ns,s44,0,125515032
+1005500000.0ns,s44,0,127249500
+1005600000.0ns,s44,0,130083640
+1005700000.0ns,s44,0,132524074
+1005800000.0ns,s44,0,134035602
+1005900000.0ns,s44,0,135141643
+1006000000.0ns,s44,0,135141643
+1006100000.0ns,s44,0,135561442
+1006200000.0ns,s44,0,135561442
+1006300000.0ns,s44,0,135621855
+1006400000.0ns,s44,0,135688261
+1006500000.0ns,s44,0,136663891
+1006600000.0ns,s44,0,137030171
+1006700000.0ns,s44,0,137302318
+1006800000.0ns,s44,0,137428318
+1006900000.0ns,s44,0,137428318
+1007000000.0ns,s44,0,137542393
+1007100000.0ns,s44,0,137667286
