Time,Node,PortIndex,DropPacket
+1006500000.0ns,s35,0,172
+1006500000.0ns,s35,1,24
+1006600000.0ns,s6,2,182
+1006600000.0ns,s6,3,54
+1006600000.0ns,s35,0,304
+1006600000.0ns,s35,1,334
+1006700000.0ns,s6,2,791
+1006700000.0ns,s6,3,286
+1006700000.0ns,s35,0,572
+1006700000.0ns,s35,1,463
+1006800000.0ns,s6,2,1197
+1006800000.0ns,s6,3,719
+1006800000.0ns,s35,0,647
+1006800000.0ns,s35,1,578
+1006900000.0ns,s6,2,1585
+1006900000.0ns,s6,3,1148
+1006900000.0ns,s35,0,694
+1006900000.0ns,s35,1,637
+1007000000.0ns,s1,1,158
+1007000000.0ns,s1,3,159
+1007000000.0ns,s6,2,1979
+1007000000.0ns,s6,3,1555
+1007000000.0ns,s35,0,695
+1007000000.0ns,s35,1,637
+1007100000.0ns,s1,1,445
+1007100000.0ns,s1,3,347
+1007100000.0ns,s6,2,2446
+1007100000.0ns,s6,3,1929
+1007100000.0ns,s35,0,695
+1007100000.0ns,s35,1,637
+1007200000.0ns,s1,1,663
+1007200000.0ns,s1,3,451
+1007200000.0ns,s6,2,2875
+1007200000.0ns,s6,3,2335
+1007200000.0ns,s35,0,695
+1007200000.0ns,s35,1,638
+1007300000.0ns,s1,1,977
+1007300000.0ns,s1,3,537
+1007300000.0ns,s6,2,3205
+1007300000.0ns,s6,3,2727
+1007300000.0ns,s28,0,31
+1007300000.0ns,s28,1,329
+1007300000.0ns,s28,3,41
+1007300000.0ns,s35,0,695
+1007300000.0ns,s35,1,638
+1007400000.0ns,s1,1,1246
+1007400000.0ns,s1,2,6
+1007400000.0ns,s1,3,606
+1007400000.0ns,s6,2,3604
+1007400000.0ns,s6,3,2875
+1007400000.0ns,s28,0,235
+1007400000.0ns,s28,1,673
+1007400000.0ns,s28,3,304
+1007400000.0ns,s35,0,695
+1007400000.0ns,s35,1,638
+1007500000.0ns,s1,1,1449
+1007500000.0ns,s1,2,19
+1007500000.0ns,s1,3,638
+1007500000.0ns,s6,2,3955
+1007500000.0ns,s6,3,3005
+1007500000.0ns,s28,0,588
+1007500000.0ns,s28,1,1078
+1007500000.0ns,s28,3,699
+1007500000.0ns,s35,0,1146
+1007500000.0ns,s35,1,782
+1007600000.0ns,s1,1,1746
+1007600000.0ns,s1,2,223
+1007600000.0ns,s1,3,768
+1007600000.0ns,s6,2,4174
+1007600000.0ns,s6,3,3112
+1007600000.0ns,s21,0,185
+1007600000.0ns,s21,3,91
+1007600000.0ns,s28,0,848
+1007600000.0ns,s28,1,1286
+1007600000.0ns,s28,3,1066
+1007600000.0ns,s35,0,1440
+1007600000.0ns,s35,1,1141
+1007700000.0ns,s1,1,1984
+1007700000.0ns,s1,2,671
+1007700000.0ns,s1,3,1012
+1007700000.0ns,s6,2,4175
+1007700000.0ns,s6,3,3112
+1007700000.0ns,s21,0,185
+1007700000.0ns,s21,3,91
+1007700000.0ns,s28,0,909
+1007700000.0ns,s28,1,1330
+1007700000.0ns,s28,3,1102
+1007700000.0ns,s35,0,1497
+1007700000.0ns,s35,1,1354
+1007800000.0ns,s1,1,2094
+1007800000.0ns,s1,2,1015
+1007800000.0ns,s1,3,1278
+1007800000.0ns,s6,2,4360
+1007800000.0ns,s6,3,3354
+1007800000.0ns,s21,0,185
+1007800000.0ns,s21,3,92
+1007800000.0ns,s28,0,909
+1007800000.0ns,s28,1,1330
+1007800000.0ns,s28,3,1102
+1007800000.0ns,s35,0,1538
+1007800000.0ns,s35,1,1465
+1007900000.0ns,s1,1,2543
+1007900000.0ns,s1,2,1438
+1007900000.0ns,s1,3,1550
+1007900000.0ns,s6,2,4597
+1007900000.0ns,s6,3,3767
+1007900000.0ns,s21,0,235
+1007900000.0ns,s21,3,251
+1007900000.0ns,s28,0,909
+1007900000.0ns,s28,1,1330
+1007900000.0ns,s28,3,1102
+1007900000.0ns,s35,0,1629
+1007900000.0ns,s35,1,1895
+1008000000.0ns,s1,1,2934
+1008000000.0ns,s1,2,1812
+1008000000.0ns,s1,3,1732
+1008000000.0ns,s6,2,4770
+1008000000.0ns,s6,3,3835
+1008000000.0ns,s21,0,239
+1008000000.0ns,s21,3,251
+1008000000.0ns,s28,0,909
+1008000000.0ns,s28,1,1330
+1008000000.0ns,s28,3,1102
+1008000000.0ns,s35,0,1775
+1008000000.0ns,s35,1,2189
+1008100000.0ns,s1,1,3105
+1008100000.0ns,s1,2,2106
+1008100000.0ns,s1,3,1925
+1008100000.0ns,s6,2,5086
+1008100000.0ns,s6,3,4214
+1008100000.0ns,s21,0,239
+1008100000.0ns,s21,3,251
+1008100000.0ns,s28,0,909
+1008100000.0ns,s28,1,1330
+1008100000.0ns,s28,3,1102
+1008100000.0ns,s35,0,1942
+1008100000.0ns,s35,1,2633
+1008200000.0ns,s1,1,3203
+1008200000.0ns,s1,2,2260
+1008200000.0ns,s1,3,2088
+1008200000.0ns,s6,2,5281
+1008200000.0ns,s6,3,4426
+1008200000.0ns,s21,0,239
+1008200000.0ns,s21,3,251
+1008200000.0ns,s28,0,909
+1008200000.0ns,s28,1,1330
+1008200000.0ns,s28,3,1102
+1008200000.0ns,s35,0,2028
+1008200000.0ns,s35,1,3076
+1008300000.0ns,s1,1,3673
+1008300000.0ns,s1,2,2360
+1008300000.0ns,s1,3,2309
+1008300000.0ns,s6,2,5494
+1008300000.0ns,s6,3,4729
+1008300000.0ns,s21,0,239
+1008300000.0ns,s21,3,251
+1008300000.0ns,s28,0,909
+1008300000.0ns,s28,1,1330
+1008300000.0ns,s28,3,1102
+1008300000.0ns,s35,0,2083
+1008300000.0ns,s35,1,3384
+1008400000.0ns,s1,1,3933
+1008400000.0ns,s1,2,2665
+1008400000.0ns,s1,3,2454
+1008400000.0ns,s6,2,5863
+1008400000.0ns,s6,3,5029
+1008400000.0ns,s21,0,271
+1008400000.0ns,s21,3,251
+1008400000.0ns,s28,0,909
+1008400000.0ns,s28,1,1330
+1008400000.0ns,s28,3,1102
+1008400000.0ns,s35,0,2099
+1008400000.0ns,s35,1,3412
+1008500000.0ns,s1,1,4344
+1008500000.0ns,s1,2,2926
+1008500000.0ns,s1,3,2675
+1008500000.0ns,s6,2,6178
+1008500000.0ns,s6,3,5338
+1008500000.0ns,s21,0,271
+1008500000.0ns,s21,3,251
+1008500000.0ns,s28,0,909
+1008500000.0ns,s28,1,1330
+1008500000.0ns,s28,3,1102
+1008500000.0ns,s35,0,2099
+1008500000.0ns,s35,1,3412
+1008600000.0ns,s1,1,4564
+1008600000.0ns,s1,2,3168
+1008600000.0ns,s1,3,2927
+1008600000.0ns,s6,2,6485
+1008600000.0ns,s6,3,5676
